"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"NEAT1"	0	0.772740809967176	0.991	0.862	0	"NORMAL.Basal"	"NEAT1"
"PRNP"	0	0.763275269893137	0.827	0.434	0	"NORMAL.Basal"	"PRNP"
"CRYAB"	0	0.753415319349283	0.783	0.474	0	"NORMAL.Basal"	"CRYAB"
"AMIGO2"	0	0.74940026104649	0.521	0.094	0	"NORMAL.Basal"	"AMIGO2"
"MYL9"	0	0.734844671126118	0.767	0.36	0	"NORMAL.Basal"	"MYL9"
"PNRC1"	0	0.702914606523579	0.843	0.66	0	"NORMAL.Basal"	"PNRC1"
"SSR3"	0	0.698247765730949	0.882	0.677	0	"NORMAL.Basal"	"SSR3"
"SMIM3"	0	0.694643132650988	0.534	0.147	0	"NORMAL.Basal"	"SMIM3"
"SLMAP"	0	0.684134512674775	0.576	0.282	0	"NORMAL.Basal"	"SLMAP"
"ARHGEF35"	0	0.679113769788232	0.546	0.188	0	"NORMAL.Basal"	"ARHGEF35"
"HSP90B1"	0	0.671920932328215	0.9	0.745	0	"NORMAL.Basal"	"HSP90B1"
"PDLIM4"	0	0.659721668188618	0.876	0.591	0	"NORMAL.Basal"	"PDLIM4"
"GAS6"	0	0.655154872702272	0.679	0.281	0	"NORMAL.Basal"	"GAS6"
"SLC25A4"	0	0.651121986582921	0.627	0.346	0	"NORMAL.Basal"	"SLC25A4"
"PMP22"	0	0.638101746238638	0.581	0.231	0	"NORMAL.Basal"	"PMP22"
"NFIB"	0	0.63670386056939	0.709	0.435	0	"NORMAL.Basal"	"NFIB"
"FAM126A"	0	0.626810446681413	0.44	0.066	0	"NORMAL.Basal"	"FAM126A"
"TSHZ2"	0	0.62581795440479	0.579	0.202	0	"NORMAL.Basal"	"TSHZ2"
"CD200"	0	0.618715292120173	0.421	0.061	0	"NORMAL.Basal"	"CD200"
"BST2"	0	0.602737742302038	0.505	0.172	0	"NORMAL.Basal"	"BST2"
"CALR"	0	0.600713786503371	0.865	0.676	0	"NORMAL.Basal"	"CALR"
"MSRB3"	0	0.598398120161781	0.574	0.143	0	"NORMAL.Basal"	"MSRB3"
"SELM"	0	0.597372616472203	0.954	0.698	0	"NORMAL.Basal"	"SELM"
"WBP5"	0	0.597288125872546	0.752	0.448	0	"NORMAL.Basal"	"WBP5"
"ICAM1"	0	0.596010042326872	0.648	0.321	0	"NORMAL.Basal"	"ICAM1"
"ZFP36"	0	0.592606745121176	0.716	0.501	0	"NORMAL.Basal"	"ZFP36"
"CNN1"	0	0.591026171588074	0.519	0.133	0	"NORMAL.Basal"	"CNN1"
"SQSTM1"	0	0.590967128362112	0.957	0.86	0	"NORMAL.Basal"	"SQSTM1"
"MTHFD2"	0	0.587617557545028	0.778	0.517	0	"NORMAL.Basal"	"MTHFD2"
"F3"	0	0.585076697401135	0.579	0.249	0	"NORMAL.Basal"	"F3"
"HAS3"	0	0.584779819974584	0.321	0.062	0	"NORMAL.Basal"	"HAS3"
"NAP1L1"	0	0.582918593689132	0.889	0.738	0	"NORMAL.Basal"	"NAP1L1"
"DNAJB9"	0	0.579513421675887	0.628	0.391	0	"NORMAL.Basal"	"DNAJB9"
"TRIM29"	0	0.578728859803991	0.469	0.118	0	"NORMAL.Basal"	"TRIM29"
"MANF"	0	0.57839808693704	0.749	0.563	0	"NORMAL.Basal"	"MANF"
"DDIT3"	0	0.57637341197661	0.472	0.179	0	"NORMAL.Basal"	"DDIT3"
"PRSS8"	0	0.57431252346408	0.752	0.592	0	"NORMAL.Basal"	"PRSS8"
"TES"	0	0.571210589715059	0.635	0.379	0	"NORMAL.Basal"	"TES"
"SERPINB5"	0	0.569484815305745	0.606	0.193	0	"NORMAL.Basal"	"SERPINB5"
"ETS2"	0	0.564857130533418	0.581	0.267	0	"NORMAL.Basal"	"ETS2"
"IGFBP4"	0	0.558505083528111	0.608	0.241	0	"NORMAL.Basal"	"IGFBP4"
"FGFR1"	0	0.550768190829641	0.596	0.245	0	"NORMAL.Basal"	"FGFR1"
"SELK"	0	0.545471615271957	0.923	0.809	0	"NORMAL.Basal"	"SELK"
"RBPMS"	0	0.544827728750007	0.644	0.417	0	"NORMAL.Basal"	"RBPMS"
"KCNMA1"	0	0.543589382051201	0.387	0.144	0	"NORMAL.Basal"	"KCNMA1"
"GSTO1"	0	0.543403781041832	0.802	0.595	0	"NORMAL.Basal"	"GSTO1"
"SLC39A14"	0	0.538213834471355	0.639	0.313	0	"NORMAL.Basal"	"SLC39A14"
"PALLD"	0	0.532940629912557	0.739	0.415	0	"NORMAL.Basal"	"PALLD"
"FHL2"	0	0.526695582245847	0.913	0.652	0	"NORMAL.Basal"	"FHL2"
"TGFB1I1"	0	0.525128126430239	0.557	0.219	0	"NORMAL.Basal"	"TGFB1I1"
"LGALS1"	0	0.51834819713015	0.932	0.654	0	"NORMAL.Basal"	"LGALS1"
"CSRP2"	0	0.513441599537084	0.517	0.163	0	"NORMAL.Basal"	"CSRP2"
"BHLHE41"	0	0.512995343746119	0.431	0.141	0	"NORMAL.Basal"	"BHLHE41"
"TINAGL1"	0	0.512642588796231	0.706	0.486	0	"NORMAL.Basal"	"TINAGL1"
"CARMN"	0	0.511721896307415	0.255	0.015	0	"NORMAL.Basal"	"CARMN"
"CSTA"	0	0.509306881937815	0.343	0.063	0	"NORMAL.Basal"	"CSTA"
"TSC22D3"	0	0.507382533118437	0.414	0.192	0	"NORMAL.Basal"	"TSC22D3"
"SLC7A11"	0	0.50579213798527	0.401	0.119	0	"NORMAL.Basal"	"SLC7A11"
"SPARC"	0	0.505775274417321	0.418	0.065	0	"NORMAL.Basal"	"SPARC"
"MRGPRX3"	0	0.50237882197588	0.284	0.081	0	"NORMAL.Basal"	"MRGPRX3"
"LIMK2"	0	0.498305632331068	0.429	0.155	0	"NORMAL.Basal"	"LIMK2"
"LAMA3"	0	0.497857598614384	0.413	0.087	0	"NORMAL.Basal"	"LAMA3"
"LMOD1"	0	0.493802040034346	0.317	0.017	0	"NORMAL.Basal"	"LMOD1"
"ADAMTS1"	0	0.490562464624363	0.338	0.12	0	"NORMAL.Basal"	"ADAMTS1"
"EEF2"	0	0.489645291462116	0.989	0.971	0	"NORMAL.Basal"	"EEF2"
"SYNPO2"	0	0.488026803240599	0.297	0.03	0	"NORMAL.Basal"	"SYNPO2"
"GPC1"	0	0.484958896627278	0.508	0.209	0	"NORMAL.Basal"	"GPC1"
"SERPINH1"	0	0.483362707144481	0.497	0.208	0	"NORMAL.Basal"	"SERPINH1"
"NGFRAP1"	0	0.48239103743115	0.524	0.256	0	"NORMAL.Basal"	"NGFRAP1"
"OXTR"	0	0.478891869985969	0.355	0.065	0	"NORMAL.Basal"	"OXTR"
"ALKBH5"	0	0.472466276200496	0.61	0.322	0	"NORMAL.Basal"	"ALKBH5"
"CDK18"	0	0.471662101072674	0.335	0.061	0	"NORMAL.Basal"	"CDK18"
"MEG3"	0	0.463873040764662	0.396	0.096	0	"NORMAL.Basal"	"MEG3"
"COL17A1"	0	0.463009512651791	0.487	0.136	0	"NORMAL.Basal"	"COL17A1"
"ITGB1"	0	0.462395893307607	0.904	0.701	0	"NORMAL.Basal"	"ITGB1"
"GRAMD3"	0	0.45622214752809	0.471	0.208	0	"NORMAL.Basal"	"GRAMD3"
"DAB2"	0	0.452303117155879	0.48	0.196	0	"NORMAL.Basal"	"DAB2"
"CCND3"	0	0.445851036021408	0.505	0.272	0	"NORMAL.Basal"	"CCND3"
"IRS2"	0	0.440534626863036	0.428	0.201	0	"NORMAL.Basal"	"IRS2"
"CRIM1"	0	0.438807309011458	0.369	0.142	0	"NORMAL.Basal"	"CRIM1"
"PDPN"	0	0.437040894333849	0.33	0.061	0	"NORMAL.Basal"	"PDPN"
"TIMP3"	0	0.432780993548656	0.376	0.078	0	"NORMAL.Basal"	"TIMP3"
"HMGB2"	0	0.429577274140503	0.553	0.331	0	"NORMAL.Basal"	"HMGB2"
"CSNK1A1"	0	0.429320611645746	0.821	0.661	0	"NORMAL.Basal"	"CSNK1A1"
"PTTG1"	0	0.428525654316366	0.322	0.105	0	"NORMAL.Basal"	"PTTG1"
"CREB5"	0	0.427034759120947	0.345	0.109	0	"NORMAL.Basal"	"CREB5"
"SHMT2"	0	0.425821365942745	0.633	0.39	0	"NORMAL.Basal"	"SHMT2"
"VIM"	0	0.42516828089044	0.856	0.515	0	"NORMAL.Basal"	"VIM"
"PDIA6"	0	0.42046052659502	0.834	0.668	0	"NORMAL.Basal"	"PDIA6"
"PIM3"	0	0.418457827411385	0.755	0.569	0	"NORMAL.Basal"	"PIM3"
"GPNMB"	0	0.415799209917928	0.26	0.039	0	"NORMAL.Basal"	"GPNMB"
"VAMP2"	0	0.4132463263923	0.72	0.514	0	"NORMAL.Basal"	"VAMP2"
"PPP1R12B"	0	0.412937893351529	0.3	0.064	0	"NORMAL.Basal"	"PPP1R12B"
"CCNB1IP1"	0	0.411622052899447	0.506	0.253	0	"NORMAL.Basal"	"CCNB1IP1"
"RPS10"	0	0.411116312105656	0.987	0.945	0	"NORMAL.Basal"	"RPS10"
"RPLP1"	0	0.408980563357227	1	1	0	"NORMAL.Basal"	"RPLP1"
"C9orf3"	0	0.407823101694647	0.413	0.153	0	"NORMAL.Basal"	"C9orf3"
"SCPEP1"	0	0.404038087115476	0.432	0.197	0	"NORMAL.Basal"	"SCPEP1"
"PTRF"	0	0.402451092915334	0.734	0.507	0	"NORMAL.Basal"	"PTRF"
"KCNMB1"	0	0.401232394942278	0.31	0.042	0	"NORMAL.Basal"	"KCNMB1"
"NFASC"	0	0.400742009467583	0.308	0.034	0	"NORMAL.Basal"	"NFASC"
"GAPDH"	0	0.400094070367	0.998	0.989	0	"NORMAL.Basal"	"GAPDH"
"FEZ1"	0	0.397937679477908	0.301	0.089	0	"NORMAL.Basal"	"FEZ1"
"PPFIBP1"	0	0.396608685369313	0.419	0.158	0	"NORMAL.Basal"	"PPFIBP1"
"C1R"	0	0.395986902240449	0.533	0.259	0	"NORMAL.Basal"	"C1R"
"ATF4"	0	0.394685747737904	0.931	0.866	0	"NORMAL.Basal"	"ATF4"
"PPP1R15A"	0	0.394635470675609	0.825	0.618	0	"NORMAL.Basal"	"PPP1R15A"
"NEDD9"	0	0.392102692687365	0.461	0.206	0	"NORMAL.Basal"	"NEDD9"
"TPT1"	0	0.389940574688532	0.996	0.993	0	"NORMAL.Basal"	"TPT1"
"MFSD2A"	0	0.386424218302707	0.295	0.09	0	"NORMAL.Basal"	"MFSD2A"
"SETD5"	0	0.384049172063926	0.494	0.272	0	"NORMAL.Basal"	"SETD5"
"ACTN1"	0	0.382248515152409	0.86	0.712	0	"NORMAL.Basal"	"ACTN1"
"SH3BP5"	0	0.378329307792962	0.351	0.142	0	"NORMAL.Basal"	"SH3BP5"
"TACC1"	0	0.377322528107057	0.426	0.172	0	"NORMAL.Basal"	"TACC1"
"NRP2"	0	0.37546187505928	0.295	0.051	0	"NORMAL.Basal"	"NRP2"
"EGFR"	0	0.374065882495912	0.407	0.17	0	"NORMAL.Basal"	"EGFR"
"NRG1"	0	0.373008533361332	0.284	0.064	0	"NORMAL.Basal"	"NRG1"
"C12orf57"	0	0.372979880302412	0.809	0.639	0	"NORMAL.Basal"	"C12orf57"
"C1orf21"	0	0.367068560661609	0.509	0.275	0	"NORMAL.Basal"	"C1orf21"
"ARL13B"	0	0.361169805619716	0.345	0.112	0	"NORMAL.Basal"	"ARL13B"
"NEXN"	0	0.360245547406376	0.273	0.049	0	"NORMAL.Basal"	"NEXN"
"IFFO2"	0	0.36012999487614	0.306	0.092	0	"NORMAL.Basal"	"IFFO2"
"TSPYL2"	0	0.358917853553625	0.348	0.135	0	"NORMAL.Basal"	"TSPYL2"
"NOTCH4"	0	0.357421557926304	0.259	0.039	0	"NORMAL.Basal"	"NOTCH4"
"INPP1"	0	0.351575171070436	0.422	0.189	0	"NORMAL.Basal"	"INPP1"
"PABPC1"	0	0.351053286266743	0.964	0.902	0	"NORMAL.Basal"	"PABPC1"
"FAM129A"	0	0.348952430698673	0.367	0.136	0	"NORMAL.Basal"	"FAM129A"
"CDC42EP3"	0	0.348230925085323	0.385	0.169	0	"NORMAL.Basal"	"CDC42EP3"
"COL4A2"	0	0.346701280475614	0.287	0.048	0	"NORMAL.Basal"	"COL4A2"
"AC013461.1"	0	0.346650010962837	0.459	0.228	0	"NORMAL.Basal"	"AC013461.1"
"FTH1"	0	0.346097752441874	1	1	0	"NORMAL.Basal"	"FTH1"
"FHL1"	0	0.344657127032164	0.298	0.036	0	"NORMAL.Basal"	"FHL1"
"ZMAT3"	0	0.3441961217366	0.324	0.105	0	"NORMAL.Basal"	"ZMAT3"
"AEBP1"	0	0.336431341749112	0.358	0.106	0	"NORMAL.Basal"	"AEBP1"
"GJA1"	0	0.332867889353154	0.266	0.061	0	"NORMAL.Basal"	"GJA1"
"PDLIM3"	0	0.332466159353936	0.374	0.153	0	"NORMAL.Basal"	"PDLIM3"
"N4BP2L1"	0	0.331651033988599	0.322	0.095	0	"NORMAL.Basal"	"N4BP2L1"
"GEM"	0	0.331593070134746	0.348	0.13	0	"NORMAL.Basal"	"GEM"
"PLPP1"	0	0.331124451446813	0.313	0.085	0	"NORMAL.Basal"	"PLPP1"
"RPS21"	0	0.329709731255511	0.983	0.939	0	"NORMAL.Basal"	"RPS21"
"JAG1"	0	0.327167024392569	0.355	0.124	0	"NORMAL.Basal"	"JAG1"
"FRMD6"	0	0.319251759175437	0.406	0.18	0	"NORMAL.Basal"	"FRMD6"
"MAP2"	0	0.314949970881068	0.282	0.095	0	"NORMAL.Basal"	"MAP2"
"PDGFA"	0	0.312006151360755	0.289	0.096	0	"NORMAL.Basal"	"PDGFA"
"CDH13"	0	0.308522632628424	0.287	0.067	0	"NORMAL.Basal"	"CDH13"
"KLHL42"	0	0.307137556479215	0.308	0.085	0	"NORMAL.Basal"	"KLHL42"
"RAB40C"	0	0.304057382406141	0.302	0.105	0	"NORMAL.Basal"	"RAB40C"
"PLS3"	0	0.301353220542352	0.433	0.197	0	"NORMAL.Basal"	"PLS3"
"RASSF3"	0	0.297118218044971	0.269	0.085	0	"NORMAL.Basal"	"RASSF3"
"MEF2A"	0	0.294197519299027	0.341	0.137	0	"NORMAL.Basal"	"MEF2A"
"GPT2"	0	0.294175327361931	0.306	0.113	0	"NORMAL.Basal"	"GPT2"
"EPAS1"	0	0.292861340440447	0.348	0.133	0	"NORMAL.Basal"	"EPAS1"
"HSPG2"	0	0.289346780421878	0.269	0.067	0	"NORMAL.Basal"	"HSPG2"
"PLEKHO1"	0	0.285958552265309	0.266	0.059	0	"NORMAL.Basal"	"PLEKHO1"
"FHL3"	0	0.283833139154424	0.339	0.134	0	"NORMAL.Basal"	"FHL3"
"SERPING1"	0	0.276110519953024	0.361	0.147	0	"NORMAL.Basal"	"SERPING1"
"TNS4"	0	0.268478486288407	0.283	0.086	0	"NORMAL.Basal"	"TNS4"
"IRX4"	0	0.266566073220187	0.309	0.097	0	"NORMAL.Basal"	"IRX4"
"KLF7"	0	0.26636754528083	0.271	0.094	0	"NORMAL.Basal"	"KLF7"
"CPE"	0	0.264277390278681	0.322	0.121	0	"NORMAL.Basal"	"CPE"
"FGF2"	0	0.264102413547183	0.263	0.087	0	"NORMAL.Basal"	"FGF2"
"TMEM47"	0	0.261636454481759	0.277	0.083	0	"NORMAL.Basal"	"TMEM47"
"SDC2"	0	0.260259871848745	0.281	0.095	0	"NORMAL.Basal"	"SDC2"
"EEF1A1"	0	0.257537995447033	1	1	0	"NORMAL.Basal"	"EEF1A1"
"KIAA0226L"	0	0.25659960923399	0.252	0.069	0	"NORMAL.Basal"	"KIAA0226L"
"SLC16A1"	0	0.254124706001018	0.349	0.137	0	"NORMAL.Basal"	"SLC16A1"
"CAV2"	3.32557117850362e-307	0.362625641009308	0.692	0.458	7.7119995629499e-303	"NORMAL.Basal"	"CAV2"
"MFGE8"	5.23995385456715e-306	0.472257775974343	0.666	0.452	1.21514529887412e-301	"NORMAL.Basal"	"MFGE8"
"SNHG12"	4.71614946102997e-303	0.385865364618798	0.436	0.218	1.09367506001285e-298	"NORMAL.Basal"	"SNHG12"
"SYNM"	2.01710659122197e-302	0.29431496040006	0.263	0.092	4.67767018504376e-298	"NORMAL.Basal"	"SYNM"
"NR1D1"	4.3852596273547e-301	0.320151377476016	0.282	0.105	1.01694170758355e-296	"NORMAL.Basal"	"NR1D1"
"LAMC1"	1.49762435272181e-300	0.263532628353845	0.313	0.124	3.47299087396188e-296	"NORMAL.Basal"	"LAMC1"
"CALU"	1.83499478767447e-299	0.42055794260545	0.63	0.424	4.25535291261709e-295	"NORMAL.Basal"	"CALU"
"WLS"	1.29946127037892e-297	0.269257785578072	0.293	0.11	3.01345068600871e-293	"NORMAL.Basal"	"WLS"
"CDH3"	9.608994960381e-297	0.277356317398397	0.327	0.135	2.22832593131235e-292	"NORMAL.Basal"	"CDH3"
"SEC24D"	2.98394574208947e-296	0.264006002227024	0.282	0.106	6.91977017590547e-292	"NORMAL.Basal"	"SEC24D"
"MMP14"	1.02062121089053e-294	0.352066845751244	0.367	0.167	2.36682058805514e-290	"NORMAL.Basal"	"MMP14"
"CDK2AP2"	1.68147142147952e-292	0.405420502976317	0.6	0.392	3.89933222641101e-288	"NORMAL.Basal"	"CDK2AP2"
"BOD1"	1.95032152855396e-290	0.338573957057499	0.561	0.343	4.52279562471663e-286	"NORMAL.Basal"	"BOD1"
"SLC2A1"	5.5219875016799e-290	0.376762895256016	0.487	0.266	1.28054890163957e-285	"NORMAL.Basal"	"SLC2A1"
"FERMT2"	1.31752922987451e-289	0.32854779472986	0.412	0.202	3.05535028407899e-285	"NORMAL.Basal"	"FERMT2"
"EPB41L4A-AS1"	3.85997280407572e-289	0.420183946816572	0.613	0.413	8.9512769326516e-285	"NORMAL.Basal"	"EPB41L4A-AS1"
"EFEMP1"	3.02177621178842e-284	0.304282785681456	0.409	0.191	7.00749903513736e-280	"NORMAL.Basal"	"EFEMP1"
"PDLIM7"	1.71785158663992e-282	0.344715089294144	0.535	0.315	3.98369782941798e-278	"NORMAL.Basal"	"PDLIM7"
"CCDC107"	1.96228413385011e-280	0.388893334454511	0.573	0.374	4.55053690639842e-276	"NORMAL.Basal"	"CCDC107"
"MAPRE3"	1.09269646258795e-279	0.250891178063842	0.283	0.11	2.53396309674146e-275	"NORMAL.Basal"	"MAPRE3"
"IRX1"	1.61505687531708e-279	0.288751346897918	0.32	0.133	3.7453168938603e-275	"NORMAL.Basal"	"IRX1"
"LMAN1"	1.31969074501788e-277	0.373315960169483	0.698	0.495	3.06036283769647e-273	"NORMAL.Basal"	"LMAN1"
"TMBIM1"	4.42713813146581e-276	0.35470235250673	0.655	0.455	1.02665333268692e-271	"NORMAL.Basal"	"TMBIM1"
"CXCL8"	1.19501733538888e-274	1.31075587254166	0.758	0.537	2.77124520076681e-270	"NORMAL.Basal"	"CXCL8"
"CCNG2"	3.34449606406919e-274	0.364945551924784	0.441	0.24	7.75588637257645e-270	"NORMAL.Basal"	"CCNG2"
"IER3"	3.52804747212178e-273	0.397060667636846	0.824	0.672	8.1815420878504e-269	"NORMAL.Basal"	"IER3"
"UCHL1"	3.86853509085262e-272	0.389719493042532	0.299	0.12	8.97113287568722e-268	"NORMAL.Basal"	"UCHL1"
"RBBP8"	2.24100710229119e-270	0.256021624335312	0.298	0.122	5.19689547021328e-266	"NORMAL.Basal"	"RBBP8"
"IP6K2"	5.05974729872603e-270	0.330307619941253	0.589	0.383	1.17335539857457e-265	"NORMAL.Basal"	"IP6K2"
"IL4R"	1.55652030068947e-267	0.348410530942213	0.383	0.191	3.60957057729888e-263	"NORMAL.Basal"	"IL4R"
"KRT6B"	1.80021021271383e-265	0.415488849765187	0.701	0.473	4.17468748328337e-261	"NORMAL.Basal"	"KRT6B"
"NFE2L2"	4.87179299474677e-265	0.344489957225911	0.776	0.609	1.12976879548178e-260	"NORMAL.Basal"	"NFE2L2"
"NTRK2"	7.41376124606506e-264	0.256273209495444	0.299	0.124	1.71925123296249e-259	"NORMAL.Basal"	"NTRK2"
"FOXO3"	1.30586747898013e-263	0.344040726966842	0.431	0.232	3.02830668375491e-259	"NORMAL.Basal"	"FOXO3"
"PGM1"	4.29511290774829e-262	0.297237972281366	0.451	0.249	9.96036683306829e-258	"NORMAL.Basal"	"PGM1"
"RNF144B"	1.40786821367355e-261	0.333431487140701	0.3	0.128	3.26484638750896e-257	"NORMAL.Basal"	"RNF144B"
"RELB"	2.89985967999492e-256	0.325372534496481	0.512	0.312	6.72477459790822e-252	"NORMAL.Basal"	"RELB"
"SPOP"	2.3983547738913e-255	0.38169553893371	0.387	0.199	5.56178472065393e-251	"NORMAL.Basal"	"SPOP"
"CHDH"	4.03675812453059e-255	0.278857977109788	0.322	0.145	9.36124209078644e-251	"NORMAL.Basal"	"CHDH"
"GAN"	2.24564473183902e-254	0.306511492409307	0.261	0.101	5.20765013313468e-250	"NORMAL.Basal"	"GAN"
"SSBP2"	3.27350583303731e-254	0.272083036090331	0.293	0.124	7.59126002681352e-250	"NORMAL.Basal"	"SSBP2"
"RAB4A"	2.55784612171598e-253	0.328081351478954	0.547	0.356	5.93164515625935e-249	"NORMAL.Basal"	"RAB4A"
"SHC1"	4.08508539898797e-252	0.265983876908692	0.369	0.179	9.4733130402531e-248	"NORMAL.Basal"	"SHC1"
"HOTAIRM1"	3.21222550698239e-251	0.349197933143962	0.377	0.19	7.44915095069215e-247	"NORMAL.Basal"	"HOTAIRM1"
"PPP1R12A"	8.74662044384929e-250	0.303663467578262	0.525	0.317	2.02834128092865e-245	"NORMAL.Basal"	"PPP1R12A"
"PELO"	3.25387146021594e-249	0.307124299336835	0.447	0.25	7.54572791624076e-245	"NORMAL.Basal"	"PELO"
"CYLD"	2.71241293950021e-248	0.296806996472459	0.361	0.175	6.29008560670099e-244	"NORMAL.Basal"	"CYLD"
"SIAH2"	1.36202047039847e-246	0.338503689375046	0.437	0.248	3.15852547085404e-242	"NORMAL.Basal"	"SIAH2"
"ACTN4"	7.54979542344793e-246	0.37601413360554	0.741	0.597	1.75079755869757e-241	"NORMAL.Basal"	"ACTN4"
"NR3C1"	7.56194039634689e-246	0.295801513570252	0.37	0.183	1.75361397791284e-241	"NORMAL.Basal"	"NR3C1"
"SEC23A"	3.76751698983253e-245	0.25419773884544	0.342	0.159	8.73687189942164e-241	"NORMAL.Basal"	"SEC23A"
"ATP2B1"	1.90241100035397e-242	0.27319616569065	0.391	0.193	4.41169110982085e-238	"NORMAL.Basal"	"ATP2B1"
"MPZL1"	9.75983616652191e-241	0.324567627565353	0.727	0.555	2.26330600701643e-236	"NORMAL.Basal"	"MPZL1"
"MT1G"	2.99442087732363e-240	0.438833525975409	0.351	0.166	6.94406201451349e-236	"NORMAL.Basal"	"MT1G"
"HDLBP"	2.53915775299863e-239	0.34243690412257	0.623	0.45	5.88830682920382e-235	"NORMAL.Basal"	"HDLBP"
"PLAU"	6.48940087436272e-239	0.647283489229185	0.388	0.202	1.50489206276471e-234	"NORMAL.Basal"	"PLAU"
"ISYNA1"	5.16044331656178e-236	0.281083003581903	0.345	0.165	1.19670680511068e-231	"NORMAL.Basal"	"ISYNA1"
"CNN2"	1.29896515699065e-233	0.312617227175424	0.499	0.311	3.01230019906133e-229	"NORMAL.Basal"	"CNN2"
